dept_no,dept_name,emp_no,emp_from_date,emp_to_date,manager_no,birth_date,employee_name,salary,salary_from_date,salary_to_date,title,title_from_date,title_to_date,gender
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",52119,1992-11-29,1993-11-29,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",54693,1993-11-29,1994-11-29,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",58326,1994-11-29,1995-11-29,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",60770,1995-11-29,1996-11-28,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",62566,1996-11-28,1997-11-28,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",64340,1997-11-28,1998-11-28,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",67096,1998-11-28,1999-11-28,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",69722,1999-11-28,2000-11-27,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",70698,2000-11-27,2001-11-27,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",74057,2001-11-27,9999-01-01,"Senior Engineer",1995-12-01,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",78228,1989-09-12,1990-09-12,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",82621,1990-09-12,1991-09-12,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",83735,1991-09-12,1992-09-11,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",85572,1992-09-11,1993-09-11,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",85076,1993-09-11,1994-09-11,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",86050,1994-09-11,1995-09-11,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",88448,1995-09-11,1996-09-10,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",88063,1996-09-10,1997-09-10,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",89724,1997-09-10,1998-09-10,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",90392,1998-09-10,1999-09-10,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",90531,1999-09-10,2000-09-09,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",91453,2000-09-09,2001-09-09,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",94692,2001-09-09,9999-01-01,"Senior Staff",1996-09-12,9999-01-01,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",78228,1989-09-12,1990-09-12,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",82621,1990-09-12,1991-09-12,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",83735,1991-09-12,1992-09-11,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",85572,1992-09-11,1993-09-11,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",85076,1993-09-11,1994-09-11,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",86050,1994-09-11,1995-09-11,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",88448,1995-09-11,1996-09-10,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",88063,1996-09-10,1997-09-10,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",89724,1997-09-10,1998-09-10,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",90392,1998-09-10,1999-09-10,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",90531,1999-09-10,2000-09-09,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",91453,2000-09-09,2001-09-09,Staff,1989-09-12,1996-09-12,NULL
d003,"Human Resources",10005,1989-09-12,9999-01-01,110022,1955-01-21,"Kyoichi Maliniak",94692,2001-09-09,9999-01-01,Staff,1989-09-12,1996-09-12,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",40000,1990-08-05,1991-08-05,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",42085,1991-08-05,1992-08-04,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",42629,1992-08-04,1993-08-04,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",45844,1993-08-04,1994-08-04,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",47518,1994-08-04,1995-08-04,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",47917,1995-08-04,1996-08-03,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",52255,1996-08-03,1997-08-03,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",53747,1997-08-03,1998-08-03,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",56032,1998-08-03,1999-08-03,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",58299,1999-08-03,2000-08-02,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",60098,2000-08-02,2001-08-02,"Senior Engineer",1990-08-05,9999-01-01,NULL
d005,Development,10006,1990-08-05,9999-01-01,110022,1953-04-20,"Anneke Preusig",59755,2001-08-02,9999-01-01,"Senior Engineer",1990-08-05,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",56724,1989-02-10,1990-02-10,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",60740,1990-02-10,1991-02-10,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",62745,1991-02-10,1992-02-10,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",63475,1992-02-10,1993-02-09,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",63208,1993-02-09,1994-02-09,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",64563,1994-02-09,1995-02-09,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",68833,1995-02-09,1996-02-09,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",70220,1996-02-09,1997-02-08,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",73362,1997-02-08,1998-02-08,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",75582,1998-02-08,1999-02-08,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",79513,1999-02-08,2000-02-08,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",80083,2000-02-08,2001-02-07,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",84456,2001-02-07,2002-02-07,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",88070,2002-02-07,9999-01-01,"Senior Staff",1996-02-11,9999-01-01,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",56724,1989-02-10,1990-02-10,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",60740,1990-02-10,1991-02-10,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",62745,1991-02-10,1992-02-10,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",63475,1992-02-10,1993-02-09,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",63208,1993-02-09,1994-02-09,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",64563,1994-02-09,1995-02-09,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",68833,1995-02-09,1996-02-09,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",70220,1996-02-09,1997-02-08,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",73362,1997-02-08,1998-02-08,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",75582,1998-02-08,1999-02-08,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",79513,1999-02-08,2000-02-08,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",80083,2000-02-08,2001-02-07,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",84456,2001-02-07,2002-02-07,Staff,1989-02-10,1996-02-11,NULL
d008,Research,10007,1989-02-10,9999-01-01,110022,1957-05-23,"Tzvetan Zielinski",88070,2002-02-07,9999-01-01,Staff,1989-02-10,1996-02-11,NULL
d005,Development,10008,1998-03-11,2000-07-31,110022,1958-02-19,"Saniya Kalloufi",46671,1998-03-11,1999-03-11,"Assistant Engineer",1998-03-11,2000-07-31,M
d005,Development,10008,1998-03-11,2000-07-31,110022,1958-02-19,"Saniya Kalloufi",48584,1999-03-11,2000-03-10,"Assistant Engineer",1998-03-11,2000-07-31,M
d005,Development,10008,1998-03-11,2000-07-31,110022,1958-02-19,"Saniya Kalloufi",52668,2000-03-10,2000-07-31,"Assistant Engineer",1998-03-11,2000-07-31,M
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",60929,1985-02-18,1986-02-18,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",64604,1986-02-18,1987-02-18,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",64780,1987-02-18,1988-02-18,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",66302,1988-02-18,1989-02-17,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",69042,1989-02-17,1990-02-17,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",70889,1990-02-17,1991-02-17,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",71434,1991-02-17,1992-02-17,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",74612,1992-02-17,1993-02-16,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",76518,1993-02-16,1994-02-16,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",78335,1994-02-16,1995-02-16,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",80944,1995-02-16,1996-02-16,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",82507,1996-02-16,1997-02-15,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",85875,1997-02-15,1998-02-15,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",89324,1998-02-15,1999-02-15,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",90668,1999-02-15,2000-02-15,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",93507,2000-02-15,2001-02-14,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",94443,2001-02-14,2002-02-14,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",94409,2002-02-14,9999-01-01,"Assistant Engineer",1985-02-18,1990-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",60929,1985-02-18,1986-02-18,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",64604,1986-02-18,1987-02-18,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",64780,1987-02-18,1988-02-18,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",66302,1988-02-18,1989-02-17,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",69042,1989-02-17,1990-02-17,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",70889,1990-02-17,1991-02-17,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",71434,1991-02-17,1992-02-17,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",74612,1992-02-17,1993-02-16,Engineer,1990-02-18,1995-02-18,NULL
d006,"Quality Management",10009,1985-02-18,9999-01-01,110022,1952-04-19,"Sumant Peac",76518,1993-02-16,1994-02-16,Engineer,1990-02-18,1995-02-18,NULL
